id,lat,lon,user,uid,version,changeset,timestamp
29495037,52.5113143,13.4023875,Gavaasuren,2144605,14,36105436,2015-12-22T13:25:20Z
29495038,52.511403,13.401611,sladen,12671,9,14552763,2013-01-06T17:42:46Z
29495040,52.5131471,13.3970078,anbr,43566,15,36307191,2016-01-01T21:59:25Z
29495041,52.513285,13.3955577,Gavaasuren,2144605,24,36590740,2016-01-15T11:59:47Z
29805106,52.5221607,13.3776058,Polarbear,114161,6,39567349,2016-05-25T21:06:06Z
29805107,52.5219025,13.3780602,Bot45715,111462,4,14128806,2012-12-02T18:22:05Z
29805108,52.5217336,13.3784463,Bot45715,111462,4,14128806,2012-12-02T18:22:05Z
29805109,52.5215624,13.3789405,Bot45715,111462,4,14128806,2012-12-02T18:22:05Z
29805110,52.5214211,13.3795508,mapper999,165061,5,14304641,2012-12-17T12:09:26Z
29805111,52.5213404,13.3801446,Bot45715,111462,5,14129155,2012-12-02T18:45:41Z
29805113,52.5213142,13.3806979,mapper999,165061,6,14304641,2012-12-17T12:09:26Z
29805115,52.5213317,13.3821786,mapper999,165061,5,14304641,2012-12-17T12:09:26Z
29805116,52.5212507,13.3830227,mapper999,165061,6,14304641,2012-12-17T12:09:27Z
29805117,52.5209058,13.3843056,bigbug21,15748,7,32966401,2015-07-29T21:34:34Z
29805118,52.5207945,13.3845954,mapper999,165061,6,14304641,2012-12-17T12:09:27Z
29805119,52.5203036,13.3859254,mapper999,165061,7,14304641,2012-12-17T12:09:27Z
29805120,52.5200215,13.3870305,Gavaasuren,2144605,13,29780334,2015-03-27T15:32:22Z
29805121,52.5199289,13.3877582,Bot45715,111462,9,14204252,2012-12-08T19:05:09Z
29805122,52.5199315,13.3887137,gilbert Aeschelmann,714245,9,31929448,2015-06-12T19:05:45Z
29805123,52.5200183,13.3900446,mapper999,165061,7,14304641,2012-12-17T12:09:27Z
29805124,52.5200495,13.3905358,wasat,5453,8,15287508,2013-03-07T21:35:41Z
29805125,52.520132,13.3917843,wasat,5453,7,15287508,2013-03-07T21:35:41Z
29805126,52.5201609,13.3922079,wasat,5453,10,15287508,2013-03-07T21:35:41Z
29805127,52.5202953,13.3931547,wasat,5453,7,15287508,2013-03-07T21:35:41Z
29805128,52.5204937,13.3938811,wasat,5453,7,15287508,2013-03-07T21:35:41Z
29805129,52.5206217,13.3941869,wasat,5453,7,15287508,2013-03-07T21:35:41Z
